"Satisfacao","Genero","Tipo","Distancia","WiFi","Comida_Bebida","Limpeza"
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",2253,4,1,1
"Satisfeito","Feminino","Cliente Fiel",3078,4,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1290,3,4,1
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",416,3,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",563,2,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",451,4,1,1
"Satisfeito","Masculino","Cliente Fiel",541,5,2,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",361,2,1,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",557,2,3,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",2566,2,5,4
"Satisfeito","Masculino","Cliente Fiel",733,3,3,5
"Satisfeito","Feminino","Cliente Fiel",620,4,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",601,2,2,2
"Satisfeito","Masculino","Cliente Fiel",2011,1,4,4
"Satisfeito","Masculino","Cliente Fiel",1201,4,4,4
"Satisfeito","Feminino","Cliente Fiel",2554,4,4,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",164,3,1,1
"Satisfeito","Feminino","Cliente Fiel",930,5,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",1919,1,2,2
"Satisfeito","Masculino","Cliente Fiel",543,3,5,3
"Satisfeito","Feminino","Cliente Fiel",1905,4,3,3
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",391,1,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1303,2,3,5
"Satisfeito","Masculino","Cliente Fiel",187,3,5,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",557,4,3,3
"Satisfeito","Feminino","Cliente Fiel",3117,4,1,2
"Satisfeito","Masculino","Cliente Fiel",2891,4,5,5
"Satisfeito","Masculino","Cliente Fiel",2848,3,3,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",867,2,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",954,2,5,5
"Satisfeito","Masculino","Cliente Fiel",67,1,2,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",575,2,3,3
"Satisfeito","Masculino","Cliente Fiel",521,3,2,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1065,2,2,3
"Satisfeito","Masculino","Cliente Fiel",2937,1,5,5
"Satisfeito","Feminino","Cliente Fiel",3531,5,4,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1670,1,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",685,3,3,3
"Satisfeito","Masculino","Cliente Fiel",288,0,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",227,3,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",2699,4,1,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",950,3,1,1
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",1409,3,2,2
"Satisfeito","Masculino","Cliente Fiel",1444,3,4,5
"Satisfeito","Feminino","Cliente Fiel",308,4,2,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1028,4,5,3
"Satisfeito","Masculino","Cliente Fiel",3753,3,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",2790,2,4,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1119,2,2,5
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",505,3,2,2
"Satisfeito","Feminino","Cliente Fiel",447,2,3,5
"Satisfeito","Feminino","Cliente Fiel",1521,4,3,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1558,2,3,3
"Satisfeito","Feminino","Cliente Fiel",589,5,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1005,2,5,5
"Satisfeito","Feminino","Cliente Fiel",1533,2,3,5
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",408,1,4,4
"Satisfeito","Masculino","Cliente Nao Fiel",831,0,1,1
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",338,3,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",430,1,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",304,3,1,1
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",1744,4,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",779,2,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",236,2,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",1041,1,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",868,1,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",707,3,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",409,2,4,4
"Satisfeito","Feminino","Cliente Fiel",3926,0,3,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",983,3,1,1
"Satisfeito","Masculino","Cliente Nao Fiel",163,4,1,1
